Nome da Instância;Total de Entregas;Pico de Abastecimento (Max/Dia);Status;Custo Modelo Exato (M1);Custo Modelo Anual (M2);Custo Heurística;Gap Heurística vs M1 (%);Gap M2 vs M1 (%);Caminho da Entrada;Pasta de Saída
00;43418;498;Sucesso;2223257,66;2223489,44;2467920,5;11,0;0,01;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\00.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_00
01w24;47702;230;Sucesso;2447547,16;2447547,16;2492096,56;1,82;0,0;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\01w24.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_01w24
10wLim;43430;259;Sucesso;2228923,93;2228923,93;2261986,84;1,48;0,0;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\10wLim.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_10wLim
5072h;45263;202;Sucesso;2338453,5;2338459,2;2379435,43;1,75;0,0;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\5072h.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_5072h
50wLim;47076;212;Sucesso;2409050,89;2409057,53;2450491,16;1,72;0,0;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\50wLim.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_50wLim
75w00;49421;227;Sucesso;2537623,54;2537623,54;2591364,94;2,12;0,0;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\75w00.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_75w00
heu_full;43379;568;Sucesso;2244053,44;2244177,41;2583535,61;15,13;0,01;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\heu_full.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_heu_full
heu_lim;43041;571;Sucesso;2226392,05;2226520,62;2549352,76;14,51;0,01;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas\heu_lim.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas\alocacao_heu_lim
